OBJECTID,ACRES,ZPREFIX,ZCASE,ZREVISION,ZYEAR,SPPREFIX,SPCASE,SPREVISION,SPYEAR,ZONING,REDEFINE1,DATE_APPRO,LABEL1,ORD_NUM,HISTORIC,GEN_ZONE,INSERT_DATE,UPDATE_DATE,ANID,TOD
1409982,1.33065676,Z,299, ,83, , , , ,R1-6,Z-299-83, ,R1-6*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72305, 
1409983,278.95307623,Z,77, ,99, , , , ,R1-8,Z-77-99,12-15-1999,R1-8 PCD*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72436, 
1409984,12.92691583,Z, , , , , , , ,R1-6, , ,R1-6, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72437, 
1409985,0.88668432,Z,110, ,02, , , , ,S-1,Z-110-02,12-04-2002,S-1, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72438, 
1409986,39.0433193,Z,83, ,81, , , , ,R-3,Z-83-81, ,R-3*, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72439, 
1409987,10.00854107,Z,52, ,93, , , , ,C-2,Z-52-93, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72440, 
1409988,5.74723101,Z, , , , , , , ,C-3, , ,C-3, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72441, 
1409989,1.5292038,Z,117, ,96, , , , ,A-1,Z-117-96, ,A-1*, , ,Industrial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72716, 
1409990,1.0515739, , , ,16, , , , ,S-1,ANX 480,1/11/2017,S-1,G-6250, ,SF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72717, 
1409991,5.53343753,Z,55, ,01, , , , ,R-2,Z-55-01,06-27-2001,R-2 PCD,G-0000, ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72718, 
1409992,20.01331457,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72719, 
1409993,3.40848374, , , , , , , , ,C-O, , ,C-O*, , ,Commercial,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72720, 
1409994,21.60883562,Z,81, ,94, , , , ,R1-6,Z-81-94, ,R1-6*, , ,SF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72721, 
1409995,19.79920298,Z, , , , , , , ,R-5, , ,R-5, , ,MF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72722, 
