GLOBALID,OBJECTID,ZONE_TYPE,ZONE_TYPE_DECODE,HEIGHT,FRONTAGE,FRONTAGE_DECODE,CONDITIONAL,ZONING,ZN_CASE_NUM,ZN_CASE_SUFFIX,ZN_CASE_YEAR,ZONE_CASE,EFF_DATE,ORDINANCE,PLAN,PLAN_NAME,INTO_UDO,COND_LINK,SHAPEAREA,SHAPELEN
{9F004AB9-479B-485B-BA02-30EE13C0E9D0},531373,R-6,Residential-6,,,,-CU,R-6-CU,3,,2007,Z-3-2007,2007/02/20 05:00:00+00,171ZC600,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-003-07-ORD.pdf,1607170.99217366,6052.40094788193
{9F85D246-89B4-446E-9921-AD3E84727D2F},531374,CX-,Commercial Mixed Use,7,-PL,Parking Limited,-CU,CX-7-PL-CU,94,,1996,Z-94-1996,1996/11/19 05:00:00+00,007ZC399,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-094-96-ORD.pdf,143806.49288326,1581.01271022334
{9F87037C-DCE8-4083-B255-C1248219BB04},531375,OX-,Office Mixed Use,3,-PL,Parking Limited,,OX-3-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,89171.0492075329,1354.72682723541
{9FB36777-4F81-4A29-B9E5-E130F9C5D5F7},531376,R-10,Residential-10,,,,-CU,R-10-CU,15,,2020,Z-15-2020,2020/10/06 04:00:00+00,141ZC802,,,Rezoned after Citywide Rezoning,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-015-20-ORD.pdf,127999.277733853,1511.33144702569
{9FB76A94-8800-423D-A587-4765FBE24484},531377,RX-,Residential Mixed Use,3,-DE,Detached,,RX-3-DE,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,53215.5935191036,923.542025312914
{A008A720-123A-4503-BA43-F724A7275834},531378,OX-,Office Mixed Use,3,-PL,Parking Limited,,OX-3-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,85299.4074357295,1413.35182335677
{A00E4339-5C3E-4C81-B810-B63B9A122115},531379,IX-,Industrial Mixed Use,3,-PL,Parking Limited,,IX-3-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,1083419.92561211,4544.31819583531
{A07FED53-1D4D-44E4-88C8-54B956186D60},531380,R-10,Residential-10,,,,,R-10,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,911737.091432194,4163.87588639217
{A0A5A581-81F6-47C5-A46A-1ED081C3171F},531381,NX-,Neighborhood Mixed Use,4,,,,NX-4,92,B,2022,Z-92B-2022,2024/05/02 04:00:00+00,615ZC878,,,New Bern SAP,,497020.751892411,4925.13555041886
{A0E8237B-D60F-4CE4-ACE5-B040C51E6E14},531382,RX-,Residential Mixed Use,3,,,-CU,RX-3-CU,71,,2002,Z-71-2002,2002/12/18 05:00:00+00,349ZC528,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-071-02-ORD.pdf,172812.487003448,1714.62800104295
{A11CE794-4173-4890-B7D1-16B6781427AD},531383,MH,Manufactured Housing,,,,,MH,,,,,,,,,"20130901; TC-3-12; 151TC357",,1695551.94348947,6854.14652731222
{A14FB69C-FAFA-42CB-9E54-B17264E74269},531384,RX-,Residential Mixed Use,3,,,-CU,RX-3-CU,6,,1997,Z-6-1997,1997/02/18 05:00:00+00,059ZC406,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-006-97-ORD.pdf,35093.5100924124,837.030014723208
{A15E5FB8-E13E-4054-9ACA-E2C4B606068F},531385,IX-,Industrial Mixed Use,3,,,,IX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,178343.912680571,1775.09768385984
{A172B889-8712-4014-B13B-962E4D91BD2D},531386,R-10,Residential-10,,,,,R-10,56,B,1986,Z-56B-1986,1986/11/18 05:00:00+00,891ZC203,,,"20130901; TC-3-12; 151TC357",,572728.218332428,3605.68597730056
{A1C9BC16-4867-405E-A2EC-6E5FF74BABF4},531387,RX-,Residential Mixed Use,3,-GP,Green Plus,,RX-3-GP,92,C,2022,Z-92C-2022,2024/06/06 16:00:00+00,625ZC881,,,New Bern SAP,,2763045.62834721,14725.2359893697
{A2764A06-99D8-4212-905C-CE80E7901C24},531388,IX-,Industrial Mixed Use,3,-PL,Parking Limited,-CU,IX-3-PL-CU,2,,1990,Z-2-1990,1990/09/04 04:00:00+00,641ZC277,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-002-90-ORD.pdf,55008.2170309102,1211.98593095071
