OBJECTID,ZONECLASS,ZONEDESC,BASEELEV,HEIGHT,LASTUPDATE,LASTEDITOR,SPI,SUBAREA,TSA,STATUS,CASEIN,CASEOUT,SUNRISE,SUNSET,CREATEDATE,CREATEDBY,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,ACRES,ZONING,EDITTED,REFERENCE,SHAPE_Area,SHAPE_Length
12269,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{FFB11E8A-E869-4051-98A5-EC624EB75D01},17.6005649,C-1, ,R2959,766677.540453267,4919.69990057629
12270,RG-3,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{4241676A-C4F4-4ADE-A56B-A770AF621E38},4.16065278,RG-3, ,R676,181237.310252903,1778.02542376727
12271,PD-H,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH19APLDEOUDIRE,0,0,, , , , ,Current,Z-92-031, ,1993/01/07 00:00:00+00,2999/12/31 00:00:00+00,2017/01/11 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{C4549EA6-D084-443E-AAFF-A8BBBA6BE859},1.85235088,PD-H, ,R3106,80688.0814972002,1197.31979496041
12272,R-LC-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH9REMICODIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{01BA5553-7D41-40E9-8AB1-011251E728BA},0.65192228,R-LC-C, ,R2950,28397.6210613058,1005.84215875524
12273,MRC-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH34MRMIRECODIRE_S16-34.026SPREM,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{8F43B44C-D946-4FC2-A77B-1353337248CB},9.59651526,MRC-1, ,R3156,418022.532635629,2610.33387466896
12274,MR-3-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH35MRMUMIREDIRE,0,0,, , , , ,Current,Z-09-042, ,2012/04/25 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{930CBFA1-FA5A-4A4A-B442-3F9F1CB32FB6},11.12423908,MR-3-C, ,R748,484569.916204774,2954.01825613082
12275,MR-4A-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH35MRMUMIREDIRE,0,0,, , , , ,Current,Z-09-042, ,2012/04/25 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{93E227FF-C791-4C00-89DC-E883937B355B},84.78906221,MR-4A-C, ,R3486,3693396.77604408,9083.54387990056
12276,MR-2-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH35MRMUMIREDIRE,0,0,, , , , ,Current,Z-09-042, ,2012/04/25 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{84DBD4D9-3311-47F6-A1C2-B15FF8F4B94E},30.16043639,MR-2-C, ,R409,1313783.35390536,4912.05588333897
12277,MRC-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH34MRMIRECODIRE_S16-34.026SPREM,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{C28D7770-51C4-405A-A956-AC04921E3B08},21.47659965,MRC-1, ,R1513,574351.932321159,3433.00032824528
12278,R-5,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH7TMIREDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{96C0351C-D669-418F-BA93-C27AF80673CA},234.04346987,R-5, ,R729,10194892.7678612,21930.7412552342
