OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
17908,2010,Main Street  (MS),URBAN CENTER,C-MS,MS,C-MS-8,Commercial Mixed Use,"DO-1, DO-8",,,,,1567,2023,,Design Review District,NA.pdf,4071be5c-f608-46b4-b146-89cd15de7866,8,Yes,77540.82275,1260.150279
17909,2010,Main Street  (MS),URBAN CENTER,C-MS,MS,C-MS-8,Commercial Mixed Use,,,,,,333,2010,,ROW Vacated Alley S/O Colfax x Downing - Corona,NA.pdf,4085b1ab-8c71-4e40-beb9-83d9c74a7735,8,Yes,8999.269531,459.2834957
17910,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,UO-3,,,,,333,2010,,,NA.pdf,40ab444b-7f82-419d-92db-c9c88cb10c9a,2.5,Yes,25306.41602,865.7824762
17911,2010,Two Unit  (TU),URBAN,U-TU,TU,U-TU-B,Residential,,,,,,333,2010,,,NA.pdf,40e3d371-1cbd-4bef-a2a5-281653b0d200,,Yes,1135936.686,5717.157391
17912,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,UO-3,,,,,333,2010,,,NA.pdf,41194960-8be1-4cfb-9f7b-b22f56c9f56f,2.5,Yes,242435.8994,2543.859801
17913,2010,"Mixed Use  (MX, M-GMX)",URBAN,U-MX,MX,U-MX-3,Commercial Mixed Use,,,,,,1490,2024,,,NA.pdf,41967060-452b-48b0-8f38-2d6ebfdf7c20,3,Yes,84834.72803,1405.230283
17914,2010,Residential Mixed Use  (RX),MASTER PLAN,M-RX,RX,M-RX-5A,Residential,,,,,,565,2017,,,NA.pdf,41c307fe-aaa2-46af-98f9-23511fdf976c,5,Yes,220336.6812,1912.78992
17916,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-G,Residential,,,,,,333,2010,,,NA.pdf,429a8c83-c736-4755-ba12-e9b9972e66e5,,No,392330.4141,3277.744048
17917,2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-5,Commercial Mixed Use,DO-8,,,,,157,2021,,,NA.pdf,429ca97d-9786-494c-916d-6e176d54f59a,5,Yes,46044.88525,965.9003265
17918,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-3,Commercial Mixed Use,DO-7,,,,,17,2018,,Commercial MU per definitions in code,NA.pdf,42c967c0-df61-465b-9d1f-12601920c241,3,Yes,23527.20361,617.0380909
17919,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,CO-2,,,,,333,2010,,Ord. 255-13 add CO-2 Overlay,NA.pdf,43090461-7f6b-4f0d-b953-af21314b6add,2.5,Yes,46723.3999,884.0378602
